Date,Open,High,Low,Close,Adj Close,Volume
2018-04-01,3787.500000,4050.000000,3437.500000,3562.500000,2884.798096,721998800
2018-05-01,3562.500000,3812.500000,3262.500000,3525.000000,2854.431641,2136398600
2018-06-01,3525.000000,3725.000000,3212.500000,3425.000000,2773.454834,1139700000
2018-07-01,3487.500000,3487.500000,3125.000000,3325.000000,2692.478271,1454409800
2018-08-01,3350.000000,3712.500000,3262.500000,3450.000000,2793.699219,1586252800
2018-09-01,3450.000000,3475.000000,3100.000000,3362.500000,2722.844238,1322205800
2018-10-01,3300.000000,3425.000000,3087.500000,3425.000000,2773.454834,1295304200
2018-11-01,3450.000000,3825.000000,3400.000000,3700.000000,2996.141113,2131135200
2018-12-01,3775.000000,3862.500000,3550.000000,3687.500000,2986.018799,1349235400
2019-01-01,3687.500000,4025.000000,3525.000000,3725.000000,3016.385254,2531064800
2019-02-01,3750.000000,3837.500000,3475.000000,3562.500000,2884.798096,1724258600
2019-03-01,3575.000000,3762.500000,3325.000000,3737.500000,3026.507324,1361431000
2019-04-01,3750.000000,4062.500000,3650.000000,3862.500000,3127.728271,1619330000
2019-05-01,3862.500000,3887.500000,3487.500000,3837.500000,3107.484131,2144913200
2019-06-01,3837.500000,4025.000000,3837.500000,4012.500000,3354.271973,1383878400
2019-07-01,4025.000000,4087.500000,3812.500000,3987.500000,3333.373047,2053738800
2019-08-01,3937.500000,3950.000000,3475.000000,3625.000000,3030.339111,1850197400
2019-09-01,3612.500000,3662.500000,3412.500000,3487.500000,2915.395264,1297082400
2019-10-01,3450.000000,3637.500000,3137.500000,3512.500000,2936.293945,2083158400
2019-11-01,3512.500000,3600.000000,3350.000000,3487.500000,2915.395264,1410547600
2019-12-01,3487.500000,3912.500000,3462.500000,3837.500000,3207.979736,1819190600
2020-01-01,3837.500000,4000.000000,3687.500000,3775.000000,3155.732666,1974173600
2020-02-01,3700.000000,4025.000000,3275.000000,3637.500000,3040.788330,2232867200
2020-03-01,3575.000000,3825.000000,1890.000000,2340.000000,2054.924072,3498227800
2020-04-01,2325.000000,2800.000000,2000.000000,2230.000000,1958.324951,3137682800
2020-05-01,2230.000000,2245.000000,1830.000000,2235.000000,1962.715820,2824536600
2020-06-01,2235.000000,2725.000000,2215.000000,2475.000000,2173.477539,3937606200
2020-07-01,2500.000000,3000.000000,2450.000000,2900.000000,2546.700684,1802590000
2020-08-01,2925.000000,3175.000000,2725.000000,2975.000000,2612.563477,1960545400
2020-09-01,2987.500000,3100.000000,2430.000000,2480.000000,2177.868164,2492304200
2020-10-01,2500.000000,2925.000000,2490.000000,2887.500000,2535.723633,1767891000
2020-11-01,2837.500000,3400.000000,2800.000000,3162.500000,2777.221191,3153225200
2020-12-01,3162.500000,3437.500000,3100.000000,3162.500000,2777.221191,2169395400
